Company Name,Company rating,Company reviews,Company salaries,Location,Number of Employees,Industry Type,Company Description
Concentrix,4.0,28.6K,4.8K,4 office locations in United States,10000+ Employees,Information Technology Support Services,"Hi, we're Concentrix! We help the world's best brands deliver exceptional customer experience (CX). Online, over the phone, in the cloud, and beyond- wherever customers are, we're there. Find out more about how you can join us from where you are at: jobs.concentrix.com"
Labcorp,3.7,9.1K,13.2K,35 office locations in United States,10000+ Employees,Health Care Services & Hospitals,"Labcorp is a leading global life sciences company with a mission to improve health and improve lives. Combining world-class diagnostic solutions with its drug development business, our cutting-edge technologies, unparalleled data, and growing menu of standard and highly-specialized tests not only inform and empower patients and providers but help medical, biotech, and pharmaceutical companies transform ideas into innovations. Labcorps more than 70,000 employees are pursuing critical advances in science and changing the delivery of healthcare while advancing essential vaccines, cancer-fighting breakthroughs, and life-changing treatments for rare diseases."
CBRE,3.9,10.5K,11K,23 office locations in United States,10000+ Employees,Real Estate,"CBRE is the worlds largest commercial real estate services and investment company, with the #1 global market position in leasing, property sales, outsourcing, property management and valuation. CBRE is also the largest commercial property developer in the United States, and has $129.1B of Assets Under Management within our Global Investors business. Our more than 100,000 employees serve clients in over 100 countries, including over 90% of the Fortune 100."
Freelancer,4.2,14.1K,9.6K,3 office locations in United States,501 to 1000 Employees,HR Consulting,"8 time Webby award winning Freelancer.com is the world's largest freelancing and crowdsourcing marketplace by total number of users and projects posted. Over 15 million registered users have posted over 7.5 million projects and contests to date in over 700 areas as diverse as website development, logo design, marketing, copywriting, astrophysics, aerospace engineering and manufacturing. Freelancer Limited is listed on the Australian Securities Exchange under the ticker ASX:FLN."
FedEx,3.6,10.2K,12.1K,36 office locations in United States,10000+ Employees,Shipping & Trucking,"Holding company FedEx hopes its package of subsidiaries will keep delivering significant market share. Its FedEx Express unit is the world's #1 express transportation provider, delivering about 3.5 million packages daily to more than 220 countries and territories from about 2,000 FedEx Office shops. It maintains a fleet of about 690 aircraft and more than 50,000 motor vehicles and trailers. To complement the express delivery business, FedEx Ground provides small-package ground delivery in North America, and less-than-truckload (LTL) carrier FedEx Freight hauls larger shipments. FedEx Office stores offer a variety of document-related and other business services and serve as retail hubs for other FedEx units."
J.P. Morgan,4.1,23.2K,1.5K,25 office locations in United States,10000+ Employees,Investment & Asset Management,"J.P. Morgan helps businesses, markets and communities grow and develop in more than 100 countries. Through our Corporate and Investment Bank, we provide banking, markets and investor services, treasury services and more for the world's most important corporations, governments and institutions. Our Asset and Wealth Management business provides global market insights and a range of investment capabilities for individuals and families, advisors and institutions. We are a diverse team of innovators with a commitment to building the best and most respected financial services company, giving back to our local communities and building a healthy, vibrant company that creates opportunities for all employees. We have an exceptional team of employees who work hard to do the right thing for our clients and the firm every day. This is why we are the most respected financial institution in the world  and why we can offer you an outstanding career. ©2021 JPMorgan Chase & Co. All rights reserved. JPMorgan Chase is an equal opportunity and affirmative action employer Disability/Veteran."
American Airlines,3.8,7.2K,11K,30 office locations in United States,10000+ Employees,"Airlines, Airports & Air Transportation","Embark on an adventure with a commitment to service, excellence and humanity. Our team is what powers our airline. We are proudly dedicated to our purpose of caring for people on lifes journey, including connecting our customers to the people and places they love or providing our team members development and leadership opportunities to acquire new skills and explore their potential. With more than 1,300 aircraft in our mainline and regional fleets combined and an extensive route network that touches six continents, weve got a place for you to start  or continue  your career. Whether youre stationed at one of our hundreds of airports, working out of our state-of-the-art headquarters in Fort Worth, Texas, or serving customers over the phone from your home office, there are endless opportunities for you to grow and lead at American."
Medtronic,4.0,8.9K,12.1K,29 office locations in United States,10000+ Employees,Health Care Products Manufacturing,"Together, we change healthcare worldwide. At Medtronic, we push the limits of what healthcare technology and solutions can do to help alleviate pain, restore health and extend life. We challenge ourselves and each other to make tomorrow better than yesterday. It is what makes this an exciting and rewarding place to be. We can accelerate and advance our ability to create meaningful innovations - but we will only succeed with the right people on our team. Lets work together to address universal healthcare needs and improve patients lives. Help us shape the future."
Hilton,4.0,10.2K,10.1K,25 office locations in United States,10000+ Employees,Hotels & Resorts,"The future of hospitality is bright at Hilton: a leading global hospitality company with a diverse portfolio of world-class brands. Dedicated to filling the earth with the light and warmth of hospitality, we have welcomed more than 3 billion guests in our over 100-year history. Hilton is proud to have an award-winning workplace culture and we are consistently named among one of the Worlds Best Workplaces. We support the mental and physical wellbeing of our Team Members so they can Thrive, thanks to innovative programs and benefits such as workplace flexibility, career growth and development, and our Go Hilton travel discount program. Hilton prioritizes understanding and integrating our Team Members unique perspectives and voicesalong with those of our Guests, Owners, Suppliers, and Partnersto cultivate a diverse and inclusive environment for all. Check out the Hilton Careers blog and Instagram to learn more about what its like to be on Team Hilton!"
Thermo Fisher Scientific,3.8,9K,11.5K,32 office locations in United States,10000+ Employees,Biotech & Pharmaceuticals,"Our global team of more than 100,000 colleagues delivers an unrivaled combination of innovative technologies, purchasing convenience and pharmaceutical services through our industry-leading brands, including Thermo Scientific, Applied Biosystems, Invitrogen, Fisher Scientific, Unity Lab Services, Patheon and PPD. For more information, please visit www.thermofisher.com."
BNY Mellon,3.7,10.8K,10K,20 office locations in United States,10000+ Employees,Investment & Asset Management,"Established in 1784, BNY Mellon is Americas oldest bank and the first company listed on the New York Stock Exchange (NYSE: BK). Today, BNY Mellon powers capital markets around the world through comprehensive solutions that help clients manage and service their financial assets throughout the investment life cycle. BNY Mellon had $46.6 trillion in assets under custody and/or administration and $1.9 trillion in assets under management as of March 31, 2023. BNY Mellon has been named among Fortunes Worlds Most Admired Companies and Fast Companys Best Workplaces for Innovators. BNY Mellon is the corporate brand of The Bank of New York Mellon Corporation. Additional information is available on www.bnymellon.com. Follow us on LinkedIn or visit our Newsroom for the latest company news."
SLB,4.0,11.3K,8.8K,32 office locations in United States,10000+ Employees,Energy & Utilities,"No sleeper, Schlumberger (pronounced SHLUM-ber-ZHAY) is one of the world's largest oilfield services companies, along with Halliburton. It provides a full range of services, including seismic surveys, formation evaluation, drilling technologies and equipment, cementing, well construction and completion, and project management. Schlumberger also provides reservoir evaluation, development, and management services, and is developing new technologies for reservoir optimization. Through its WesternGeco business, the company provides seismic and other surveying services to customers worldwide. In 2010 Schlumberger acquired drilling services giant Smith International in deal valued at $11 billion."
CSC,3.7,6.7K,15.9K,3 office locations in United States,10000+ Employees,Information Technology Support Services,"At CSC our people do amazing things to transform how businesses and communities work everyday. CSC is the worlds leading independent, end-to-end IT services company, helping clients harness the power of innovation to thrive on change. Our technology independence, global talent and extensive partner network combine to deliver powerful next-generation IT services and solutions."
Philips,3.7,10.9K,7.3K,17 office locations in United States,10000+ Employees,Health Care Services & Hospitals,"Philips is a leading health technology company focused on improving people's health and well-being, and enabling better outcomes across the health continuum  from healthy living and prevention, to diagnosis, treatment and home care. Philips leverages advanced technology and deep clinical and consumer insights to deliver integrated solutions. Headquartered in the Netherlands, the company is a leader in diagnostic imaging, image-guided therapy, patient monitoring and health informatics, as well as in consumer health and home care. Philips generated 2019 sales of EUR 19.5 billion and employs approximately 81,000 employees with sales and services in more than 100 countries."
Delta Air Lines,4.3,6.9K,9.3K,29 office locations in United States,10000+ Employees,"Airlines, Airports & Air Transportation","Weve been connecting people since our first passenger flight in 1929. Since then, weve been steadily climbing toward our goal of being the worlds best airline. We serve more worldwide destinations than any other airline, weve added more international capacity than all other major U.S. airlines combined, and were the leader in trans-Atlantic flights. Were guided by the belief that connecting the world is the most important work there is. That our purpose is to erase the distance that separates us. And that the farther we go, the closer we land."
Santander,3.8,17K,5.4K,30 office locations in United States,5001 to 10000 Employees,Banking & Lending,"Santander US is a diversified financial business with 17,500 employees serving 5.2 million customers and with $144.8 billion assets. Santander's purpose is to help people and businesses prosper. In the U.S., Santander does this through Santander Bank, N.A., its fully-owned retail and commercial bank in the northeast, and Santander Consumer USA Holdings Inc., its approximately 69%-owned full-service, technology driven consumer finance company focused on vehicle finance based in Dallas, Texas. Santander Bank and Santander Consumer USA are subsidiaries of Santander Holdings USA, Inc. a fully-owned subsidiary of Banco Santander, S.A. In addition, Santander engages in the U.S. in private banking through Banco Santander International in Miami; in commercial banking, consumer finance and broker-dealer activities in Puerto Rico; and in investment and corporate banking through its Global Corporate Banking division."
IQVIA,4.0,12.4K,8K,2 office locations in United States,10000+ Employees,Biotech & Pharmaceuticals,"IQVIA is a leading global provider of advanced analytics, technology solutions and clinical research services to the life sciences industry dedicated to creating intelligent connections that deliver unique and actionable insights. With approximately 86,000 employees, IQVIA conducts operations in more than 100 countries."
TEKsystems,4.0,10K,10.8K,36 office locations in United States,1001 to 5000 Employees,HR Consulting,"Were partners in transformation. We help clients activate ideas and solutions to take advantage of a new world of opportunity. We are a team of 80,000 strong, working with over 6,000 clients, including 80% of the Fortune 500, across North America, Europe and Asia. As an industry leader in Full-Stack Technology Services, Talent Services and real-world application, we work with progressive leaders to drive change. Thats the power of true partnership. TEKsystems is an Allegis Group company."
Progressive Insurance,3.8,6.3K,11.4K,25 office locations in United States,10000+ Employees,Insurance Carriers,"For more than 80 years, Progressive has offered a wide range of insurance choices to customers, including Auto, Home, Renters, Motorcycle, and Boat policies, and more. Progressive is the fourth largest auto insurer in the countrya combined effort of every single Progressive person. Were a diverse group of more than 50,000 talented employeesfrom all walks of life, all fields of business, and all 50 states. Everyone here plays a role in our success as we continue to find new and better ways to move the insurance industry forward and be there for our customers during every stage of their lives."
Credit Suisse,3.8,11.3K,8.5K,9 office locations in United States,10000+ Employees,Investment & Asset Management,"Credit Suisse is a leading global wealth manager with strong investment banking capabilities. Headquartered in Zurich, Switzerland, we have a global reach with operations in about 50 countries and employ more than 45,000 people from over 150 different nations. Embodying entrepreneurial spirit, Credit Suisse delivers holistic financial solutions to our clients, including innovative products and specially tailored advice. Striving for quality and excellence in our work, we recognize and reward extraordinary performance among our employees, provide wide-ranging training and development opportunities, and benefit from a diverse range of perspectives to create value for our clients, shareholders and communities. We are Credit Suisse."
Ericsson-Worldwide,3.9,17.6K,5.9K,7 office locations in United States,10000+ Employees,Telecommunications Services,"Ready to create the future? Imagine a world where limitless connectivity means limitless possibility. By creating connections that make the unimaginable possible, we are helping to shape an exciting and positive future. A world where limitless connectivity improves lives, redefines business and pioneers a sustainable future. Below are a few glimpses into the hyper-connected world we will help create. We invite you to explore the potential and power of limitless connectivity and what it means for our future world."
Deutsche Bank,3.9,11.7K,7.5K,5 office locations in United States,10000+ Employees,Banking & Lending,"Deutsche Bank is the leading German bank with strong European roots and a global network. In a fundamental transformation the bank focuses on its core strengths in a newly created Corporate Bank, a leading Private Bank, a focused investment bank and in asset management. We provide banking services to companies, governments, institutional investors, small and medium-sized businesses and private individuals. Deutsche Bank was founded in 1870 to accompany German businesses into the world. Weve worked across borders ever since."
Bath & Body Works,3.8,8.9K,11.1K,3 Limited Parkway,10000+ Employees,Beauty & Personal Accessories Stores,"Home of Americas Favorite Fragrances®, Bath & Body Works is a global leader in personal care and home fragrance, including the top-selling collections for fine fragrance mist, body lotion and body cream, 3-wick candles, home fragrance diffusers and liquid hand soap. Powered by agility and innovation, the companys predominantly U.S.-based supply chain enables the company to deliver quality, on-trend luxuries at affordable prices. Bath & Body Works serves and delights customers however and wherever they want to shop, from welcoming, in-store experiences at more than 1,800 company-operated Bath & Body Works locations in the U.S. and Canada and more than 425 international franchised locations to an online storefront at www.BathandBodyWorks.com."
Abbott,3.8,9.1K,10K,26 office locations in United States,10000+ Employees,Health Care Services & Hospitals,"At Abbott, were dedicated to helping people live more fully, in everything we do. Were creating the future of healthcare through life-changing technologies that make you healthier and stronger, quickly identify when you have a medical need, and treat conditions to help you get back to doing what you love. With headquarters in north suburban Chicago, Abbott serves people in more than 160 countries with leading medical devices, diagnostics, nutrition products and branded generic medicines. More than 110,000 of us are helping millions of people to live better and healthier, every day around the world. Our employees do work that matters as part of a global community that supports them with career development opportunities and locally competitive benefits."
United Airlines,4.0,6K,8.1K,21 office locations in United States,10000+ Employees,"Airlines, Airports & Air Transportation","We're connecting people and uniting the world. We've paired the world's most comprehensive route network with our modern fleet, the most fuel-efficient among U.S. network carriers (when adjusted for cabin size). We have seven US hub locations, including hubs in the four largest cities in the United States and almost 90,000 employees residing in every U.S. state and in countries around the world. We also host an industry-leading loyalty program that provides more opportunities to earn and redeem miles worldwide and are leading the industry in our environmental initiatives. The time is right to join United. We're reinventing our company from the ground up, and opportunities exist for all experience levels. If you are a dedicated individual who is ready to move your career in a positive new direction, United Airlines is the place for you."
IKEA,3.7,12.3K,6K,420 Alan Wood Road,10000+ Employees,Home Furniture & Housewares Stores,"Founded by Ingvar Kamprad in 1943 as a tiny Swedish mail-order catalog business, today IKEA is a global home furnishing brand that lives in the hearts of the many people. One of the world's top furniture retailers, IKEA sells Scandinavian-style home furnishings and other housewares in about 422 stores in some 50 markets. We are a values-driven company with a passion for life at home. Every product we create is our idea for making home a better place. Even though weve come a long way since Ingvar Kamprad founded the IKEA brand, his dream to create a better life for as many people as possible, whatever the size of their wallet, is and will always be our driving force."
University of Michigan,4.3,6.7K,14.5K,5 office locations in United States,10000+ Employees,Colleges & Universities,"At Michigan, you are part of something greater, contributing to a mission of discovery and care. You are valued for your time and talent. You are supported with benefits to promote health, well-being, and balance. And you are challenged with opportunities to grow, personally and professionally. Be your best self at Michigan."
Gap,3.8,8.9K,9.8K,11 office locations in United States,10000+ Employees,"Department, Clothing & Shoe Stores","We are originators and champions of a uniquely radical and optimistic sense of American style that bridges the gaps between individuals, generations, and cultures. Come join us."
Adobe,4.4,8.7K,9.5K,16 office locations in United States,10000+ Employees,Computer Hardware Development,"Adobe is the global leader in digital media and digital marketing solutions. Our creative, marketing and document solutions empower everyone  from emerging artists to global brands  to bring digital creations to life and deliver immersive, compelling experiences to the right person at the right moment for the best results. In short, Adobe is everywhere, and were changing the world through digital experiences."
Sherwin-Williams,3.8,8.2K,11.4K,26 office locations in United States,10000+ Employees,Consumer Product Manufacturing,"Here, there's no one path to success. Our 60,000+ employees are diverse, innovative and passionate. Our employees worldwide bring their energy and unique perspectives to each new day. We believe in careers that grow with you and open up new opportunities. With the support of a global team, you can innovate, grow and discover a career where you can thrive and Let Your Colors Show. Equal Opportunity Employer of all protected statuses, including disability and veteran."
PayPal,3.9,7.6K,10.3K,9 office locations in United States,10000+ Employees,Internet & Web Services,"At PayPal, we believe that now is the time to democratize financial services so that moving and managing money is a right for all citizens, not just the affluent. We are driven by this purpose, and we uphold our cultural values of collaboration, innovation, wellness, and inclusion as our guide for making decisions and conducting business every day. It is our duty and privilege to be customer champions and put those we serve at the center of everything we do. We are one team that respects and values diversity of thought for everyone, everywhere, and we actively seek to create an energizing workplace that brings out the best in all of us. If youre ready to shape the future of money, join the team at PayPal. We're proud to work here. You will be too."
Abercrombie & Fitch,3.7,8.2K,9.3K,6301 Fitch Path,10000+ Employees,"Department, Clothing & Shoe Stores","Abercrombie &amp; Fitch Co. (NYSE: ANF) is a leading, global specialty retailer of apparel and accessories for Men, Women and Kids through three renowned brands. For more than 125 years, the iconic Abercrombie &amp; Fitch brand has outfitted innovators, explorers and entrepreneurs. Today, the brand reflects the updated attitude of modern consumer, while remaining true to its heritage of creating expertly crafted products with an effortless, American style. The Hollister brand epitomizes the liberating and carefree spirit of the endless California summer for the teen market. abercrombie kids creates smart, playful apparel for children ages 5-14, celebrating the wide-eyed wonder of childhood."
State Street,3.5,8.9K,8.8K,16 office locations in United States,10000+ Employees,Investment & Asset Management,"From technology and product innovation to corporate responsibility and community development, were making our mark on the financial services industry. For more than two centuries, weve been helping our clients safeguard and steward the investments of millions of people  strengthening markets, building communities and creating opportunities for growth. We owe that longevity to the commitment, expertise and creativity of our employees. Our continued success depends on our ability to attract and develop the best talent in the industry. Thats why were keenly focused on employee development, corporate citizenship and inclusion. For us, success comes in the mark we make as an organization  for the industry, our clients, our communities and each other. Learn more: - http://www.statestreet.com/about.html - http://listen.statestreet.com/"
Cummins,4.2,7.3K,11K,24 office locations in United States,10000+ Employees,Transportation Equipment Manufacturing,"Cummins is a place big enough to coach and develop a global workforce and create the worlds leading clean, engine technology. Were also small enough for you to find your fit and personal passion with a team of dependable, innovative thinkers who are developing their careers within a diverse, inclusive, empowering environment. Cummins Inc., a global power technology leader, is a corporation of complementary business units that design, engineer, manufacture, distribute and service engines and related technologies, including fuel systems, controls, air handling, filtration, emission solutions and electrical power generation systems. Headquartered in Columbus, Indiana, we employ 60,000+ people worldwide and serve customers in approximately 190 countries and territories through a network of more than 500 company-owned and independent distributor locations and approximately 7,500 dealer locations. Cummins had net income of $1 billion and revenues of $20.4 billion in 2017."
Fujitsu,3.7,6K,14.1K,17 office locations in United States,10000+ Employees,Enterprise Software & Network Solutions,"As a global ICT company, Fujitsu touches the lives of millions of people every day through our technology and solutions. From enabling airline bookings and issuing driving licenses to facilitating banking transactions, high street shopping and much more. Explore the variety of jobs available at Fujitsu and take your chance to shape your future at our company. What can we offer you? Fujitsu attracts and retains the best people by providing an exciting working environment where collaboration, customer focus and the passion to achieve results make the difference. Furthermore, we offer ideal start and development opportunities for junior and senior employees. Fujitsu is committed to the development of a diverse workforce. Therefore applications for employment are considered irrespective of gender, ethnic origin, race, faith or sexual orientation. Are you ready to shape tomorrow with us?"
The Coca-Cola Company,4.1,9.3K,8.5K,16 office locations in United States,10000+ Employees,Food & Beverage Manufacturing,"The Coca-Cola Company (NYSE: KO) is a total beverage company with products sold in more than 200 countries and territories. Our companys purpose is to refresh the world and make a difference. We sell multiple billion-dollar brands across several beverage categories worldwide. Our portfolio of sparkling soft drink brands includes Coca-Cola, Sprite and Fanta. Our water, sports, coffee and tea brands include Dasani, smartwater, vitaminwater, Topo Chico, BODYARMOR, Powerade, Costa, Georgia, Gold Peak and Ayataka. Our juice, value-added dairy and plant-based beverage brands include Minute Maid, Simply, innocent, Del Valle, fairlife and AdeS. Were constantly transforming our portfolio, from reducing sugar in our drinks to bringing innovative new products to market. We seek to positively impact peoples lives, communities and the planet through water replenishment, packaging recycling, sustainable sourcing practices and carbon emissions reductions across our value chain. Together with our bottling partners, we employ more than 700,000 people, helping bring economic opportunity to local communities worldwide."
American Eagle Outfitters,3.5,8.4K,10.2K,6 office locations in United States,10000+ Employees,"Department, Clothing & Shoe Stores","AMERICAN EAGLE OUTFITTERS INC. is built on more than 38 years of customer focus, dedication and innovation. The company was founded with one store, in Novi, Michigan, in 1977. Today, we have more than 1,000 stores and 40,000 associates worldwide. With corporate offices across the globe - American Eagle Outfitters, Inc. has built a distinctive global company culture based on our core values  People, Integrity, Passion, Innovation and Teamwork. These values continue to shape our aspirational yet accessible brand identities. American Eagle Outfitters, Inc. operates five distinct lifestyle brands, American Eagle, Aerie, Tailgate, Todd Snyder, and Don't Ask Why, all focusing on the 15-25 year-old consumer."
NTT DATA,3.5,13.3K,7.2K,40 office locations in United States,10000+ Employees,Information Technology Support Services,"NTT DATA Services partners with clients to navigate and simplify the modern complexities of business and technology, delivering the insights, solutions and outcomes that matter most. We deliver tangible business results by combining deep industry expertise with applied innovations in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. NTT DATA Services, headquartered in Plano, Texas, is a division of NTT DATA Corporation, a top 10 global business and IT services provider with 118,000+ professionals in more than 50 countries, and NTT Group, a partner to 88 percent of the Fortune Global 100."
LinkedIn,4.4,6.3K,9.6K,8 office locations in United States,10000+ Employees,Internet & Web Services,"LinkedIn is the worlds largest professional network, built to create economic opportunity for every member of the global workforce. Our products help people make powerful connections, discover exciting opportunities, build necessary skills, and gain valuable insights every day. Were also committed to providing transformational opportunities for our own employees by investing in their growth. We aspire to create a culture thats built on trust, care, inclusion, and fun  where everyone can succeed. Join us to transform the way the world works."
Self Opportunity,4.3,4.8K,14.4K,4 office locations in United States,51 to 200 Employees,Advertising & Public Relations,"Providing recruitment advertising strategy to help recruiters and HR professionals find the best candidates. Our expertise covers recruitment advertising, employment branding, career sites, recruiting events, candidate pre-screening, recruitment landing pages with SEO/SEM, direct placement, and contract staffing."
Pfizer,4.1,8.3K,9.2K,32 office locations in United States,10000+ Employees,Biotech & Pharmaceuticals,"At Pfizer, we apply science and our global resources to bring treatments and therapies to people all over the globe. Every day, we work to advance wellness, prevention, treatments and cures that challenge the most feared diseases of our time. For more than 150 years, weve worked to make a difference for all who rely on us. Consistent with our responsibility as one of the world's premier innovative biopharmaceutical companies, we collaborate with health care providers, governments and local communities to support and expand access to reliable, affordable health care around the world. Pfizer, a global leader in the biopharmaceutical industry is continuously seeking fresh new talent to join our brilliant community and share our vision for the development of innovative therapies that make the world a healthier place."
USAA,3.5,6.3K,10.9K,8 office locations in United States,10000+ Employees,Insurance Carriers,"WHO WE ARE Were USAA, a financial services organization providing insurance, banking, financial products, and advice for our military community. With more than 38,000 employees across eight domestic and three international offices, we have the technology, experience, and infrastructure needed to best serve our members and staff. Were always on the lookout for passionate, talented individuals who share our appreciation for the military and their families and the dedication to serve them. If this sounds like you, we hope youll join us. WHERE WE COME FROM Our story began in 1922 when a group of soldiers got together in San Antonio and agreed to insure each others vehicles. By the 1930s, our membership reached 30,000. During World War II, we automatically renewed policies for members serving abroad. In 1969, we welcomed our 1 millionth member. By 2000, we were online and available to service members from all branches of the military. Weve continued to evolve and adapt to meet the ever-changing needs of the military community. Today, were honored to serve over 13 million members  those currently serving, veterans, and their families. Our headquarters remain in San Antonio. Over the course of our more than 100-year history, weve expanded to seven other cities in the U.S. and three international locations to better serve our growing membership."
Nokia,4.2,17.4K,5.3K,2 office locations in United States,10000+ Employees,Telecommunications Services,"Join us in creating the technology that helps the world act together. We are a B2B technology innovation leader pioneering the future where networks meet cloud. At Nokia you will have a positive impact on peoples lives and help build the capabilities needed for a more productive, sustainable, and accessible world. Be part of a culture built on an inclusive way of working where we are open to your ideas, you are empowered to take risks and are encouraged to be fearless in bringing your authentic self to work. www.nokia.com/careers"
Schneider Electric,4.2,13.3K,5.6K,8 office locations in United States,10000+ Employees,Energy & Utilities,"Schneiders purpose is to empower all to make the most of our energy and resources, bridging progress and sustainability for all. We call this Life Is On. Our mission is to be your digital partner for Sustainability and Efficiency. We drive digital transformation by integrating world-leading process and energy technologies, end-point to cloud connecting products, controls, software and services, across the entire lifecycle, enabling integrated company management, for homes, buildings, data centers, infrastructure and industries. We are the most local of global companies. We are advocates of open standards and partnership ecosystems that are passionate about our shared Meaningful Purpose, Inclusive and Empowered values. - 128,000+ employees - 100+ countries - 25.2B Euro in revenue (FY2020)"
Trader Joe's,4.0,7.7K,10.2K,4 office locations in United States,10000+ Employees,Grocery Stores,"When it comes to grocery chains, Trader Joe's isn't your average Joe. The company has 500+ stores in 42 states and over 40,000 employees dubbed Crew Members. The Crew Members are hard-working, fun peoplepeople with a passion for food, learning, and creating an outstanding experience for their customers. There are more than 3000 unique and everyday items in their private label, all at honest everyday low prices. Packaging innovative, hard-to-find, great-tasting foods under the Trader Joes name allows the company to cut costs and pass along the savings to their customers. And thats important, because Value is a concept Trader Joes takes very seriously."
Optum,3.7,7.3K,11.4K,4 office locations in United States,10000+ Employees,Health Care Services & Hospitals,"UnitedHealth Group is a health care and well-being company thats dedicated to improving the health outcomes of millions worldwide. We are comprised of two distinct and complementary businesses, UnitedHealthcare and Optum, working to build a better health system for all. Here, your contributions matter as they will help transform health care for years to come. Make an impact with a diverse team that shares your passion for helping others. Caring. Connecting. Growing together.  Being a part of UnitedHealth Group means working to improve health outcomes for everyone, including yourself. Here is how: Caring. Your total health and well-being are important to us. Whatever matters most to you  we have resources to help you be your best at work and at home. The benefits range from free Peloton courses to financial counseling. Connecting. We recognize our collective power to make an impact across our communities because we believe the health of any society is measured by the overall health of its people.  Growing together. UnitedHealth Group is full of inspiring career stories, and we offer a lifetime of opportunities. Discover all the ways you can learn, grow and develop."
Kelly,3.5,8.8K,6.4K,39 office locations in United States,5001 to 10000 Employees,HR Consulting,"At Kelly, we connect great people with great companies. Simply put  were the experts. Seriously. Our recruiters are deeply rooted in the markets they serve, which means we understand what it takes to succeed, have industry connections, and the inside scoop no one else has. Plus, at Kelly, we are real people seeing beyond just a resume. This means youre getting a level of personal attention you dont get from an algorithm and access to opportunities that would never occur to an outsider. So what are you waiting for? Find your next role with a fast, personalized job search that never costs you anything."
Humana,3.9,6.3K,10.8K,25 office locations in United States,10000+ Employees,Health Care Services & Hospitals,"Health is at the core of Humana. Headquartered in Louisville, Kentucky, Humana is a leading healthcare company that offers a wide range of products, healthcare services and wellness solutions by incorporating an integrated approach to lifelong well-being. If you are looking for a career that provides opportunities for growth and development in a stable industry, consider a career with Humana. The company offers a variety of benefits including competitive, performance-based wages, retirement plans, medical, dental, vision and life insurance, on-site health screenings and personal health coaching, paid time off, tuition assistance, leadership development, mentorships and much more."
Olive Garden Italian Restaurants,3.7,8.9K,9.1K,United States,10000+ Employees,Restaurants & Cafes,"Today, the Olive Garden family of 850+ restaurants is evolving the brand with our customers' favorites in mind. With reinvigorated dishes, a refreshed website, a restructured logo, and remodeling of select restaurants, we aim to make every guest experience feel more like modern Italy. We also believe that life is better together and we know everyone is happiest when we're with family. Whether that's family by relation or by choice; traditional, blended or extended; neighbors, coworkers or teams; friends, groups or just ""the gang."" We love everyone like family. And, at Olive Garden this approach extends beyond our favorite dishes, promoting togetherness in everything we do."
AECOM,3.8,9.4K,7.7K,22 office locations in United States,10000+ Employees,Architectural & Engineering Services,"AECOM is the worlds trusted infrastructure consulting firm, delivering professional services throughout the project lifecycle  from planning, design and engineering to program and construction management. On projects spanning transportation, buildings, water, new energy and the environment, our public- and private-sector clients trust us to solve their most complex challenges. Our teams are driven by a common purpose to deliver a better world through our unrivaled technical expertise and innovation, a culture of equity, diversity and inclusion, and a commitment to environmental, social and governance priorities. See how we are delivering sustainable legacies for generations to come at aecom.com and @AECOM."
Sephora,3.6,8.3K,8.3K,"525 Market Steet, 32nd Floor",10000+ Employees,Beauty & Personal Accessories Stores,"Since its debut in North America over 20 years ago, Sephora has been a leader in prestige omni-retail with the purpose of creating an inviting beauty shopping experience and inspiring fearlessness in our community. With the goal of delivering unbiased shopping support and a personalized experience, Sephora invites clients to touch and try 25,000 products from 400 carefully curated brands, enjoy services at the Beauty Studio and engage with expertly trained beauty advisors across the Americas, as well as locations inside Kohl's. Clients can also experience Sephora online and through our mobile app, access the free-to-join Beauty Insider program and digital community, which together enhance the experience of Sephoras passionate clients. Sephora has been an industry-leading champion of diversity, inclusivity, and empowerment, guided by our longstanding company values. In 2019, Sephora announced a new tagline and manifesto, We Belong to Something Beautiful, to reinforce its dedication to fostering belonging amongst all clients and employees and to publicly strive for a more inclusive vision for retail in the Americas. Sephora continues to give back to our communities and advance inclusion in our industry through our Sephora Stands social impact programs."
Caterpillar,4.0,7.5K,9.4K,28 office locations in United States,10000+ Employees,Machinery Manufacturing,"At Caterpillar, you build what matterswhether its the career you want, crucial work skills, strong relationships or new digital technologies. There are big jobs to be done worldwidebuilding critical infrastructure, bolstering local economies, meeting the demand for energyand that work is powered by our people. Every single Caterpillar employee moves our company forward. Piece by piece, part by part, person by person. Together we create sustainable, world-changing solutions that impact lives around the globe. Join our winning team and help build a better world."
Mastech Digital,4.0,696,19.7K,10 office locations in United States,1001 to 5000 Employees,Information Technology Support Services,"Welcome to Mastech Digital. We are an IT Staffing and Digital Transformation Services company. Over the years, we have mastered the art of finding the right talent for your IT needs in the most efficient way. We understand the growing need for the digital workforce as well as the importance of people who deliver value out of mainstream technologies. Beyond servicing the usual staffing needs efficiently, we have a habitual flair in finding purple squirrels  those uncommon and specialized skill sets that are otherwise hard to source. Our teams, today, specialize in building applications that support the digital ecosystem on analytics, cloud, social and mobility. Our digital technology practices include SAP HANA and Salesforce, while our Digital Learning practice delivers value to organizational learning and development through programed digital content and design thinking. A minority-owned organization, Mastech Digital is listed on the New York Stock Exchange under the symbol MHH."
